Lon,Lat,Clave,Edo,Est,Tmax
-102.32,21.7,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,26.0
-102.37,21.78,NGRAG,AGS,El Ni·gara Ags.,26.8
-102.79,21.81,MNLAG,AGS,Media Luna Ags.,28.4
-102.29,21.85,OBSAG,AGS,Observatorio de Aguascalientes Ags.,28.9
-102.31,21.9,AGSAG,AGS,Aguascalientes Ags.,27.6
-101.99,21.9,CNSAG,AGS,Los Conos Ags.,26.0
-102.68,22,CDRAG,AGS,La Codorniz Ags.,27.9
-102.36,22.12,JCQAG,AGS,Jocoque Ags.,26.2
-102.42,22.14,PECAG,AGS,Plutarco ElÌas Calles Ags.,25.1
-102.28,22.15,PBLAG,AGS,PabellÛn Ags.,26.4
-102.46,22.19,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,25.8
-102.14,22.2,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,25.4
-102.44,22.24,PTRAG,AGS,Derivadora PabellÛn Ags.,25.8
-102.61,22.27,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,18.4
-102.3,22.36,CSOAG,AGS,CosÌo Ags.,27.3
-102.07,22.1,VJZAG,AGS,Villa Ju·rez Ags.,25.7
-102.18,21.74,BRTAG,AGS,San Bartolo Ags.,27.2
-102.13,21.81,TNJAG,AGS,La Tinaja 2 Ags.,26.8
-102.11,21.88,SNVAG,AGS,Sandovales Ags.,23.5
-101.97,21.92,PALAG,AGS,Palo Alto Ags.,25.6
-102.2,22.01,CHOAG,AGS,CaÒada Honda Ags.,27.2
-102,22.02,NVLAG,AGS,El Novillo Ags.,24.7
-102.19,21.83,CLVAG,AGS,Calvillo Ags.,25.0
-102.29,21.85,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SGT*,26.9
-102.46,22.19,ANVAG,AGS,Cincuenta Aniversario Ags.,25.8
-114.72,29.73,CATAVINA,BC,CataviÒa B.C. SMN*,35.0
-116.6,31.89,ELZBN,BC,Emilio LÛpez Zamora B.C.,25.3
-116.2,32.27,AGHBN,BC,Agua Hechicera B.C.,32.6
-116.91,32.44,ALRBN,BC,Abelardo L. RodrÌguez B.C.,29.2
-116.83,32.47,EFLBN,BC,El Florido B.C.,28.2
-116.7,32.48,CRRBN,BC,El Carrizo B.C.,30.5
-114.73,32.7,PDMBN,BC,Presa derivadora Morelos B.C.,41.2
-115.27,32.39,MXCBN,BC,Mexicali B.C.,46.3
-115.93,30.52,ENBBN,BC,San QuintÌn B.C.,23.1
-115.94,30.53,SQNBN,BC,San QuintÌn B.C. SMN*,23.0
-116.6,31.89,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,23.6
-116.91,32.45,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,26.9
-116.66,32.57,TECATE,BC,Tecate B.C. SMN*,31.8
-114.85,31.03,SFLBN,BC,Observatorio de San Felipe B.C.,37.0
-115.15,32.41,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,42.3
-115.29,32.67,MEXBN,BC,Mexicali B.C. SMN*,41.7
-115.5,31.1,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,20.2
-116.97,32.54,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,24.4
-115.25,32.63,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,40.5
-115.92,32.04,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,31.0
-116.17,31.1,ENSBN,BC,Observatorio de Ensenada B.C.,26.2
-114.83,30.99,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,36.3
-117.25,32.42,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,22.6
-116.21,32.27,RUMOROSA,BC,La Rumorosa B.C. SMN*,32.5
-115.19,32.41,ENVOLEONob,BC,Observatorio del Ejido Nuevo LeÛn B.C. SMN*,42.4
-114.83,31.03,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,37.0
-114.73,32.7,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,42.1
-116.3,32.52,HNGBN,BC,El Hongo B.C.,33.9
-116.66,31.87,CICESE,BC,Centro de InvestigaciÛn CientÌfica y de EducaciÛn Superior de Ensenada B.C. CICESE*,22.1
-116.73,31.91,CIBOLA,BC,CÌbola B.C. CICESE*,22.5
-116.61,32.03,VGUADALUPE,BC,Valle de Guadalupe B.C. CICESE*,26.9
-115.5,32.64,MEXICALIOB,BC,Mexicali Observatorio B.C. SMN*,43.6
-111.35,26.01,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,36.7
-109.92,22.89,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,34.4
-109.93,22.9,CSLBS,BCS,Cabo San Lucas B.C.S.,33.7
-109.71,23.12,SJCBS,BCS,San JosÈ del Cabo B.C.S.,32.9
-110.21,23.48,TSNBS,BCS,Todos Santos B.C.S.,30.5
-109.71,23.49,SNTBS,BCS,Santiago B.C.S.,37.4
-109.59,23.59,RBRBS,BCS,La Ribera B.C.S.,35.9
-109.7,23.68,LBABS,BCS,Los Barriles B.C.S.,37.1
-109.84,23.74,SBABS,BCS,San Bartolo B.C.S.,35.5
-110.06,23.8,SANBS,BCS,San Antonio B.C.S.,39.5
-109.93,23.97,PLNBS,BCS,Los Planes B.C.S.,37.2
-110,24.08,SARBS,BCS,El Sargento B.C.S.,34.3
-113.46,27.64,DORBS,BCS,DÌaz Ordaz B.C.S.,31.7
-114.05,27.96,GNGBS,BCS,Guerrero Negro B.C.S.,25.0
-111.98,26.9,MLGBS,BCS,MulegÈ B.C.S.,35.9
-110,23.56,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,25.5
-110.37,24.15,LPZBS,BCS,Observatorio de La Paz B.C.S.,38.7
-111.66,25.01,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,36.7
-111.35,26.01,LRTBS,BCS,Observatorio de Loreto B.C.S.,37.5
-109.72,23.14,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,34.0
-110.37,24.08,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,37.0
-111.35,25.99,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,34.4
-109.42,23.45,CPULMO,BCS,Cabo Pulmo B.C.S. SMN*,32.7
-110.32,24.12,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,40.0
-111.83,24.48,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,30.1
-109.94,22.95,MMSL,BCS,AerÛdromo Internacional de Cabo San Lucas B.C.S.,33.6
-114.02,27.98,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,24.3
-113.46,27.64,DIAZORDAZBN,BCS,Gustavo Diaz Ordaz B.C.S. SMN*,31.9
-112.25,27.28,STAROSALIAob,BCS,Observatorio de Santa RosalÌa B.C.S. SMN*,34.6
-111.34,26.01,CPLORETOmar,BCS,CapitanÌa de Puerto de Loreto B.C.S. SEMAR*,33.9
-110.22,23.45,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,29.1
-111.65,25.01,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,36.8
-111.35,26.01,LORETOob,BCS,Observatorio de Loreto B.C.S. SMN*,37.3
-109.91,22.88,SANLUCASmar,BCS,Cabo San Lucas B.C.S. SEMAR*,33.2
-110.31,24.17,CPLAPAZmar,BCS,CapitanÌa de Puerto de La Paz B.C.S. SEMAR*,35.6
-91.05,18.18,CNDCA,CAMP,Candelaria Camp.,34.7
-92.09,18.25,PLZCA,CAMP,Palizada Camp.,35.6
-90.74,18.6,ESCCA,CAMP,Esc·rcega Camp.,36.4
-91.76,18.65,CARCA,CAMP,El Carmen Camp.,34.4
-91.18,18.97,SBNCA,CAMP,Sabancuy Camp.,38.0
-90.58,19.3,CANCA,CAMP,Canasayab Camp.,35.2
-90.72,19.36,CHMCA,CAMP,ChampotÛn Camp.,34.6
-90.56,19.83,CMPCA,CAMP,Campeche Camp.,36.8
-90.51,19.84,COBCA,CAMP,Observatorio de Campeche Camp.,36.9
-90.11,20.18,HECCA,CAMP,Hecelchak·n Camp.,36.4
-91.8,18.65,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,32.9
-90.5,19.81,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,35.7
-89.89,18.36,CALCA,CAMP,Calakmul Camp. SMN*,33.4
-92.1,18.25,PALIZADACA,CAMP,Palizada Camp. SMN*,35.8
-89.85,19.75,HPOCA,CAMP,Hopelchen Camp.,36.3
-90.72,19.36,CHAMPOTONmar,CAMP,ChampotÛn Camp. SEMAR*,33.9
-90.59,19.81,LERMAmar,CAMP,Lerma Camp. SEMAR*,34.5
-90.51,19.84,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,36.8
-89.74,20,BOLCA,CAMP,Bolonchen Camp.,32.8
-91.83,18.63,EIOCDCARMENmar,CAMP,EstaciÛn de InvestigaciÛn Oceanogr·fica de Ciudad del Carmen Camp. SEMAR*,32.9
-91.84,18.65,CPISLCARMENmar,CAMP,CapitanÌa de Puerto de Isla del Carmen Camp. SEMAR*,34.4
-90.51,19.83,BASANCAMPmar,CAMP,Base Aeronaval de Campeche Camp. SEMAR*,35.3
-90.22,19.61,NYXCA,CAMP,Noh YaxchÈ Camp.,39.1
-99.2,19.3,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,21.8
-99.07,19.47,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,25.4
-99.14,19.52,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,26.1
-99.2,19.27,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,23.9
-99.1,19.39,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,25.1
