Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Nuevo León,Abasolo,Fuentes fijas,0.224,0.786,1.822,0.032,1.605,1.15,0.032,Nuevo León
Nuevo León,Abasolo,Fuentes de área,0.015,3.063,0.754,29.573,1.032,0.5989999999999999,4.197,Nuevo León
Nuevo León,Abasolo,Fuentes móviles carreteros,0.063,88.89,31.201,9.119,0.896,0.819,0.1759999999999999,Nuevo León
Nuevo León,Abasolo,Fuentes móviles que no circulan por carretera,0.136,1.491,15.121,0.56,0.375,0.337,0.0,Nuevo León
Nuevo León,Abasolo,Fuentes naturales,,,165.201,701.245,,,,Nuevo León
Nuevo León,Agualeguas,Fuentes fijas,0.0,0.066,0.117,1.291,0.006,0.006,0.0,Nuevo León
Nuevo León,Agualeguas,Fuentes de área,0.057,7.817999999999999,1.143,33.9,107.124,18.853,175.265,Nuevo León
Nuevo León,Agualeguas,Fuentes móviles carreteros,0.0859999999999999,144.216,36.182,14.218,0.757,0.688,0.249,Nuevo León
Nuevo León,Agualeguas,Fuentes móviles que no circulan por carretera,0.688,6.336,19.682,1.516,1.203,1.167,0.006,Nuevo León
Nuevo León,Agualeguas,Fuentes naturales,,,89.924,170.626,,,,Nuevo León
Nuevo León,Los Aldamas,Fuentes de área,0.019,3.546,0.501,14.021,10.254,2.043,17.964,Nuevo León
Nuevo León,Los Aldamas,Fuentes móviles carreteros,0.019,34.171,7.108,3.35,0.1029999999999999,0.093,0.058,Nuevo León
Nuevo León,Los Aldamas,Fuentes móviles que no circulan por carretera,0.5889999999999999,6.209,53.372,2.145,1.479,1.347,0.001,Nuevo León
Nuevo León,Los Aldamas,Fuentes naturales,,,101.813,250.327,,,,Nuevo León
Nuevo León,Allende,Fuentes de área,0.122,28.883,6.593,418.808,25.952,8.479,311.798,Nuevo León
Nuevo León,Allende,Fuentes móviles carreteros,1.551,2061.349,876.3769999999998,221.88,28.837,26.411,4.309,Nuevo León
Nuevo León,Allende,Fuentes móviles que no circulan por carretera,0.0729999999999999,0.674,2.094,0.161,0.128,0.124,0.001,Nuevo León
Nuevo León,Allende,Fuentes naturales,,,711.193,3169.231,,,,Nuevo León
Nuevo León,Anáhuac,Fuentes fijas,0.0,0.008,0.014,0.0,0.001,0.001,0.0,Nuevo León
Nuevo León,Anáhuac,Fuentes de área,0.229,45.437,5.074,285.556,171.353,34.87,172.748,Nuevo León
Nuevo León,Anáhuac,Fuentes móviles carreteros,0.256,417.06,104.914,41.473,2.206,2.004,0.72,Nuevo León
Nuevo León,Anáhuac,Fuentes móviles que no circulan por carretera,2.364,24.258,183.868,7.905,5.56,5.115,0.0089999999999999,Nuevo León
Nuevo León,Anáhuac,Fuentes naturales,,,128.172,358.46,,,,Nuevo León
Nuevo León,Apodaca,Fuentes fijas,11.203,1114.786,1792.661,1365.252,444.88,326.058,42.401,Nuevo León
