Municipio,m^2 por habitante,,m^2 por habitante minimo,m^2 por habitante ideal
Abasolo,14.51,,9,15
Agualeguas,3.12,,,
Los Aldamas,28.47,,,
Allende,3.24,,,
Anáhuac,242.81,,,
Apodaca,6.7,,,
Aramberri,176.72,,,
Bustamante,149.1,,,
Cadereyta Jiménez,7.05,,,
Cerralvo,13.3,,,
China,41,,,
Ciénega de Flores,1.6,,,
Doctor Arroyo,139.38,,,
Doctor Coss,50.36,,,
Doctor González,209.8,,,
Galeana,167.69,,,
García,2.4,,,
San Pedro Garza García,13,,,
General Bravo,305.27,,,
General Escobedo,9.3,,,
General Terán,167,,,
General Treviño,202.97,,,
General Zaragoza,206.19,,,
General Zuazua,1.5,,,
Guadalupe,6.1,,,
Los Herreras,233.54,,,
Higueras,307.6,,,
Hualahuises,15.67,,,
Iturbide,166.97,,,
Juárez,3.9,,,
Lampazos de Naranjo,621.7,,,
Linares,28.79,,,
Marín,43.78,,,
Melchor Ocampo,134.58,,,
Mier y Noriega,128.965,,,
Mina,621.2,,,
Montemorelos,26.55,,,
Monterrey,6.9,,,
Parás,1231.43,,,
Pesquería,17.98,,,
Los Ramones,229.04,,,
Rayones,280.63,,,
Sabinas Hidalgo,41.77,,,
Salinas Victoria,181.53,,,
San Nicolás de los Garza,2.5,,,
Hidalgo,12.45,,,
Santa Catarina,2.8,,,
Santiago,14.98,,,
Vallecillo,575.5,,,
Villaldama,234.37,,,
