NAME_2,point_count,mean_population_density,sum_population_density
Abasolo,29,106.6510394555115,3092.8801442098334
Agualeguas,591,5.811525707035728,3434.6116928581155
Allende,193,193.0335826052853,37255.48144282006
Anáhuac,2122,8.86119462727138,18803.45499906987
Apodaca,289,2301.159277603564,665035.03122743
Aramberri,1252,12.388590956631612,15510.51587770278
Bustamante,238,15.869632806883766,3776.972608038336
Cadereyta Jiménez,1200,107.12389653254989,128548.67583905987
Cerralvo,727,10.354114896371208,7527.441529661868
China,2480,4.218397611666063,10461.626076931836
Ciénega de Flores,155,522.8235484941058,81037.6500165864
Doctor Arroyo,1927,19.4323402056189,37446.11957622762
Doctor Coss,659,2.391118438121578,1575.74705072212
Doctor González,458,9.040584291618153,4140.587605561114
El Carmen,111,975.5600882277605,108287.16979328141
Galeana,3144,13.516234899227074,42495.04252316992
García,672,632.7967045179123,425239.3854360371
General Bravo,1367,4.066871547015047,5559.41340476957
General Escobedo,181,2815.101672425138,509533.40270895
General Terán,1909,7.780184486746013,14852.372185198137
General Treviño,246,7.6860178001012205,1890.7603788249003
General Zaragoza,436,14.949110243439316,6517.8120661395415
General Zuazua,197,522.2837175159217,102889.89235063657
Guadalupe,147,4582.910176959865,673687.7960131001
Hidalgo,95,177.22311929753528,16836.196333265852
Higueras,178,8.15347293534432,1451.318182491289
Hualahuises,156,46.26939456274448,7218.025551788139
Iturbide,257,13.294408240217132,3416.662917735803
Juárez,259,1906.2471233743709,493718.00495396205
Lampazos de Naranjo,1872,2.9787355311141135,5576.19291424562
Linares,2204,40.02701552996977,88219.54222805338
Los Aldamas,463,2.9863426348419893,1382.676639931841
Los Herreras,435,4.540691859197109,1975.2009587507423
Los Ramones,1171,4.819765602627954,5643.945520677335
Marín,234,24.983650976952894,5846.174328606978
Melchor Ocampo,150,10.414753292545003,1562.2129938817504
Mier y Noriega,249,32.2550107446687,8031.497675422506
Mina,966,6.7134167577152795,6485.16058795296
Montemorelos,1663,42.13913045113075,70077.37394023043
Monterrey,357,3308.160825128404,1181013.4145708403
Parás,492,1.8952661657625367,932.4709535551681
Pesquería,378,412.58326147465505,155956.4728374196
Rayones,323,7.514838984689914,2427.292992054842
Sabinas Hidalgo,985,36.58651047214978,36037.712815067534
Salinas Victoria,935,91.64143626038846,85684.74290346321
San Nicolás de los Garza,78,5591.013974871795,436099.09004
San Pedro Garza García,89,1527.1776014398874,135918.80652815
Santa Catarina,549,575.1665562961238,315766.43940657197
Santiago,555,86.09578096292412,47783.15843442289
Vallecillo,1121,1.478958671131378,1657.9126703382747
Villaldama,375,9.843588570723398,3691.345714021274
